,案件名,価格,提案・契約数,残り時間,URL,サイト
31,【継続・高単価】コンサルティング企業のLP（ランディングページ）制作,"200,000 円 ~ 300,000 円 / 固定",14件,7日間,https://www.lancers.jp/work/detail/3372227,ランサーズ
32,"NEW
2回目
【再依頼】食肉加工卸売の会社のコーポレートサイトリニューアル","300,000 円 ~ 500,000 円 / 固定",17件,5日間,https://www.lancers.jp/work/detail/3375474,ランサーズ
33,"NEW
3回目
不動産情報サイトの構築","500,000 円 ~ 1,000,000 円 / 固定",20件,7日間,https://www.lancers.jp/work/detail/3374422,ランサーズ
34,オンライン展示会のフロントページのコーディング作業（デザインデータ有）【納期：1/6】,"100,000 円 ~ 200,000 円 / 固定",13件,5日間,https://www.lancers.jp/work/detail/3371024,ランサーズ
35,ウェブサービスのランディングページを作りたい,"固定報酬制
予算はワーカーと相談",契約数 1 人 (募集人数 1人),"あと 6 日
（1月6日まで）",https://crowdworks.jp/public/jobs/6001803,クラウドワークス
36,ECサイト用 ランディングページ制作を行って頂ける方を募集します！(楽天市場/ヤフーショッピング）,"100,000 円 ~ 200,000 円 / 固定",32件,5日間,https://crowdworks.jp/public/jobs/5991617,ランサーズ
37,【長野】アウトドアショップのwebサイト制作,"200,000 円 ~ 300,000 円 / 固定",15件,5日間,https://www.lancers.jp/work/detail/3371277,ランサーズ
38,"NEW
不動産投資セミナーのランディングページ（LP）制作","固定報酬制
予算はワーカーと相談",21件,5日間,https://www.lancers.jp/work/detail/3375648,ランサーズ
39,酵素ドリンクのランディングページ制作 をお願いいたします。,"50,000 円 ~ 100,000 円 / 固定",契約数 0 人 (募集人数 1人),"あと 20 時間
（12月31日まで）",https://www.lancers.jp/work/detail/3372206,クラウドワークス
40,【継続依頼あり】就活・転職サービスのLP制作,"固定報酬制
10,000円 〜 50,000円",22件,7日間,https://crowdworks.jp/public/jobs/6009769,ランサーズ
41,"NEW
本出版のランディングページ制作およびコーディング","50,000 円 ~ 100,000 円 / 固定",契約数 0 人 (募集人数 1人),"あと 10 日
（1月10日まで）",https://www.lancers.jp/work/detail/3375364,クラウドワークス
42,lpのカスタマイズをお願いします,"時間単価制
700円 〜 1,000円",契約数 1 人 (募集人数 1人),14日間,https://crowdworks.jp/public/jobs/6014629,ランサーズ
43,"NEW
【継続受注可能な方】フロントコーダー募集","10,000 円 ~ 20,000 円 / 固定",14件,"あと 20 時間
（12月31日まで）",https://www.lancers.jp/work/detail/3374098,クラウドワークス
44,教育テキストLP作成(コピー有り)デザイン、コーディングの依頼,"コンペ
77,000円","提案
6 件","あと 10 日
（1月10日まで）",https://crowdworks.jp/public/jobs/6013125,クラウドワークス
45,"≪長期でお願いできる方歓迎！≫在宅WEBデザイナー募集中！1案件2,000円～！話題のテレワークであなたのスキルを発...","固定報酬制
12円",契約数 1 人 (募集人数 1人),"あと 4 日
（1月4日まで）",https://crowdworks.jp/public/jobs/5995211,クラウドワークス
46,美容室（美容師）向けヘアスタイルレンタルサイトのLP作成,"固定報酬制
50,000円 〜 100,000円",契約数 0 人 (募集人数 1人),"あと 7 日
（1月7日まで）",https://crowdworks.jp/public/jobs/6002890,クラウドワークス
47,【企業案件】副業スクールのランディングページ制作（継続依頼あり）,"100,000 円 ~ 200,000 円 / 固定",16件,5日間,https://www.lancers.jp/work/detail/3371012,ランサーズ
48,LPデザイン制作・コーディング・サイト公開作業【納期：1/4】,"固定報酬制
93,500円",契約数 0 人 (募集人数 1人),"あと 12 日
（1月12日まで）",https://crowdworks.jp/public/jobs/6013876,クラウドワークス
49,LP作成　新規事業のランディングページを作成して頂ける方を募集します,"固定報酬制
165,000円",契約数 0 人 (募集人数 1人),"あと 7 日
（1月7日まで）",https://crowdworks.jp/public/jobs/6005492,クラウドワークス
50,【 継続依頼 】楽天用のランディングページ（LP）作成 ＜クオリティ重視＞,"固定報酬制
予算はワーカーと相談",契約数 0 人 (募集人数 1人),"あと 5 日
（1月5日まで）",https://crowdworks.jp/public/jobs/6009823,クラウドワークス
51,【継続・高単価】企業のLP制作＊ClickFunnels（クリックファネル）が使える方,"固定報酬制
予算はワーカーと相談",契約数 0 人 (募集人数 2人),"あと 20 時間
（12月31日まで）",https://crowdworks.jp/public/jobs/6008685,クラウドワークス
52,BtoB向けのランディングページの制作です。保育園、幼稚園、学童保育などの保育施設、教育施設向けのプラットフォーム...,"固定報酬制
50,000円 〜 100,000円",契約数 0 人 (募集人数 1人),"あと 20 時間
（12月31日まで）",https://crowdworks.jp/public/jobs/5990856,クラウドワークス
53,"≪嬉しい長期案件≫在宅WEBデザイナー募集中！採用後時給1,450円～・昇給あり！あなたの力を貸してください！","固定報酬制
12円",契約数 2 人 (募集人数 1人),"あと 4 日
（1月4日まで）",https://crowdworks.jp/public/jobs/5995199,クラウドワークス
54,HP制作会社のLP作成【デザインのみ】,"コンペ
33,000円","提案
7 件","あと 5 日
（1月5日まで）",https://crowdworks.jp/public/jobs/6010501,クラウドワークス
55,継続的な寄付募集のLP作成,"固定報酬制
10,000円 〜 50,000円",契約数 0 人 (募集人数 1人),"あと 10 日
（1月10日まで）",https://crowdworks.jp/public/jobs/6011588,クラウドワークス
56,【長期契約】事業拡⼤に伴いLP制作(デザイン・コーディング)できる⽅を募集,"固定報酬制
55,000円",契約数 0 人 (募集人数 1人),"あと 3 日
（1月3日まで）",https://crowdworks.jp/public/jobs/6002541,クラウドワークス
57,SEO対策会社のLP作成【デザインのみ】,"コンペ
33,000円","提案
7 件","あと 5 日
（1月5日まで）",https://crowdworks.jp/public/jobs/6010507,クラウドワークス
58,オンライン学習塾のLP作成,"固定報酬制
予算はワーカーと相談",契約数 1 人 (募集人数 1人),"あと 9 日
（1月9日まで）",https://crowdworks.jp/public/jobs/6008392,クラウドワークス
59,ランディングページ一式の構築,"固定報酬制
300,000円 〜 500,000円",契約数 0 人 (募集人数 1人),"あと 11 日
（1月11日まで）",https://crowdworks.jp/public/jobs/6011057,クラウドワークス
60,不動産投資セミナーのランディングページ（LP）制作,"固定報酬制
100,000円 〜 300,000円",契約数 0 人 (募集人数 1人),"あと 4 日
（1月4日まで）",https://crowdworks.jp/public/jobs/6015631,クラウドワークス
61,再生医療の啓蒙サイトのSEO用特集ランディングページ作成,"コンペ
77,000円","提案
9 件","あと 12 日
（1月12日まで）",https://crowdworks.jp/public/jobs/6011711,クラウドワークス
62,LINE登録誘導LPの作成依頼,"固定報酬制
10,000円 〜 50,000円",契約数 1 人 (募集人数 1人),"あと 7 日
（1月7日まで）",https://crowdworks.jp/public/jobs/6003661,クラウドワークス
63,美容&ダイエットサプリのLP（ランディングページ）デザイン制作,"固定報酬制
10,000円 〜 50,000円",契約数 0 人 (募集人数 1人),"あと 20 時間
（12月31日まで）",https://crowdworks.jp/public/jobs/6012158,クラウドワークス
64,商用車買取トのランディングページ制作,"固定報酬制
50,000円 〜 100,000円",契約数 0 人 (募集人数 1人),"あと 4 日
（1月4日まで）",https://crowdworks.jp/public/jobs/5996256,クラウドワークス
65,売れる　結婚指輪と婚約指輪のLP制作,"固定報酬制
100,000円 〜 300,000円",契約数 0 人 (募集人数 1人),"あと 2 日
（1月2日まで）",https://crowdworks.jp/public/jobs/5991385,クラウドワークス
66,医療系　LP デザイン、コーディング,"固定報酬制
100,000円 〜 300,000円",契約数 0 人 (募集人数 1人),"あと 7 日
（1月7日まで）",https://crowdworks.jp/public/jobs/6002604,クラウドワークス
67,ホームページリニューアルによるデザインカンプ制作,"固定報酬制
50,000円 〜 100,000円",契約数 0 人 (募集人数 1人),"あと 1 日
（1月1日まで）",https://crowdworks.jp/public/jobs/5346259,クラウドワークス
68,人材会社の「新サービス」のサービスページ,"固定報酬制
50,000円 〜 100,000円",契約数 0 人 (募集人数 1人),"あと 20 時間
（12月31日まで）",https://crowdworks.jp/public/jobs/6000583,クラウドワークス
69,営業代行企業のLP制作者募集,"固定報酬制
50,000円 〜 100,000円",契約数 0 人 (募集人数 1人),"あと 4 日
（1月4日まで）",https://crowdworks.jp/public/jobs/6017292,クラウドワークス
70,売り上げ重視で　結婚指輪と婚約指輪のLP制作,"固定報酬制
100,000円 〜 300,000円",契約数 0 人 (募集人数 1人),"あと 3 日
（1月3日まで）",https://crowdworks.jp/public/jobs/5993191,クラウドワークス
71,ランディングページのWebデザイナー・コーダー募集,"固定報酬制
予算はワーカーと相談",契約数 0 人 (募集人数 5人),"あと 5 日
（1月5日まで）",https://crowdworks.jp/public/jobs/5996892,クラウドワークス
72,"2回目
土木工事会社のホームページリニューアル","500,000 円 ~ 1,000,000 円 / 固定",77件,7日間,https://www.lancers.jp/work/detail/3367213,ランサーズ
73,"NEW
WebサービスのマイページのUI設計・デザイン（PC / スマホ）","200,000 円 ~ 300,000 円 / 固定",7件,7日間,https://www.lancers.jp/work/detail/3374514,ランサーズ
74,"NEW
既存のホームページ内の一部をCMS導入にして、更新を簡単にできるようにしたいです","20,000 円 ~ 50,000 円 / 固定",9件,7日間,https://www.lancers.jp/work/detail/3377097,ランサーズ
75,"NEW
2回目
福祉施設の求人用Webサイト制作（STUDIOを使用）","100,000 円 ~ 200,000 円 / 固定",6件,5日間,https://www.lancers.jp/work/detail/3372821,ランサーズ
76,"NEW
システム開発会社のwordpressでのHP制作のご依頼","50,000 円 ~ 100,000 円 / 固定",11件,5日間,https://www.lancers.jp/work/detail/3376673,ランサーズ
77,"NEW
注目
あきばれで作ったホームページのリメイク","50,000 円 ~ 100,000 円 / 固定",9件,4日間,https://www.lancers.jp/work/detail/3375460,ランサーズ
78,"NEW
包丁販売サイト（shopify）コーディング（レスポンシブ対応）","50,000 円 ~ 100,000 円 / 固定",6件,5日間,https://www.lancers.jp/work/detail/3375712,ランサーズ
79,"NEW
2回目
コンサルティングのランディングページ","20,000 円 ~ 50,000 円 / 固定",11件,5日間,https://www.lancers.jp/work/detail/3376533,ランサーズ
80,"NEW
初回
継続案件有:女性向けファッションEC「和風ルームウェア」の雑誌風LPデザインをお願いします","50,000 円 ~ 100,000 円 / 固定",6件,7日間,https://www.lancers.jp/work/detail/3375391,ランサーズ
81,"初回
一部上場企業のWebサイトリニューアルにおけるWebディレクション","500,000 円 ~ 1,000,000 円 / 固定",6件,15日間,https://www.lancers.jp/work/detail/3368897,ランサーズ
82,漫画・ラノベサイトの製作・コーディング作業,"20,000 円 ~ 50,000 円 / 固定",5件,5日間,https://www.lancers.jp/work/detail/3370359,ランサーズ
83,"NEW
既存のセールスレターをオートSNS内で再構築できる方募集（デザイン・コーディング）","50,000 円 ~ 100,000 円 / 固定",3件,7日間,https://www.lancers.jp/work/detail/3375987,ランサーズ
84,"NEW
注目
ShopifyのShogunを使用したランディングページ制作（１ページ）","20,000 円 ~ 50,000 円 / 固定",6件,7日間,https://www.lancers.jp/work/detail/3376807,ランサーズ
85,経験者限定 | Amazon・楽天のランディングぺージLPの作成のお仕事,"50,000 円 ~ 100,000 円 / 固定",7件,7日間,https://www.lancers.jp/work/detail/3368607,ランサーズ
86,"NEW
観光系ARアプリのUIデザイン（iPhone）","100,000 円 ~ 200,000 円 / 固定",7件,7日間,https://www.lancers.jp/work/detail/3373812,ランサーズ
87,"2回目
ワインショップ「Sommelier Due」のＬＰ制作のマンツーマン指導","10,000 円 ~ 20,000 円 / 固定",7件,5日間,https://www.lancers.jp/work/detail/3372304,ランサーズ
88,"初回
データ設計を含む、Tableauでのダッシュボード作成","300,000 円 ~ 500,000 円 / 固定",9件,7日間,https://www.lancers.jp/work/detail/3367221,ランサーズ
89,"NEW
初回
wordpressマルチサイトをシングルサイトに変更できる方を探しています","20,000 円 ~ 50,000 円 / 固定",0件,3日間,https://www.lancers.jp/work/detail/3377373,ランサーズ
90,"NEW
【継続受注可能な方】WEBサイト/LPデザイン デザイナー募集","10,000 円 ~ 20,000 円 / 固定",6件,14日間,https://www.lancers.jp/work/detail/3374055,ランサーズ
91,"NEW
ECサイトの商品ページの商品撮影・画像制作","100,000 円 ~ 200,000 円 / 固定",4件,5日間,https://www.lancers.jp/work/detail/3373959,ランサーズ
92,"NEW
【スカルプ青汁】の記事LP作成","20,000 円 ~ 50,000 円 / 固定",11件,6日間,https://www.lancers.jp/work/detail/3375992,ランサーズ
93,"NEW
マッチングサイトの開発","100,000 円 ~ 200,000 円 / 固定",11件,5日間,https://www.lancers.jp/work/detail/3374562,ランサーズ
94,"NEW
【赤坂/週1来社あり】webデザイン制作・webサイト制作・LP制作のできる方を募集！【中長期】","100,000 円 ~ 200,000 円 / 固定",5件,7日間,https://www.lancers.jp/work/detail/3376675,ランサーズ
95,"NEW
台湾食器メーカーの公式HP作成、ECサイト構築（日本向け）","100,000 円 ~ 200,000 円 / 固定",2件,7日間,https://www.lancers.jp/work/detail/3377287,ランサーズ
96,"2回目
ノーコード（プログラミングレス）環境のUIデザイン、イラスト作成","100,000 円 ~ 200,000 円 / 固定",6件,7日間,https://www.lancers.jp/work/detail/3369871,ランサーズ
97,コーディング 指示書作成(スプレットシート),"5,000 円 ~ 10,000 円 / 固定",2件,19日間,https://www.lancers.jp/work/detail/3358045,ランサーズ
